# BASE/icon2bc fresh byte-offset/lifetime reconstruction, checkpoint 214bd52
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target relocations 91.
# Scope: genuinely new setup/lifetime models derived from retail's +0x12 EBX/EDI split. The setup/include/predicate/count families closed by the four earlier icon2bc matrices were not replayed.
# Decoder audit: skip, solid, shadow override, fill, dim, literal, and newline branch order agrees semantically with the canonical source; selective scratch publications account for all 91 target relocations. The first structural divergence precedes the decoder.
# No permutation tool was used. The regex permuter is prohibited and AST permutation is inappropriate at this score.
source_sha256	match_percent	result	new_model_and_byte_evidence
c77ac4e79dcbb18022abdcce5b146f78562f4556a3ae531ce5691b1a3f6f3933	69.95	canonical-input	Typed entries[frame] canonical. Exact through +0x11; first mismatch +0x12 is candidate LEA ECX versus retail LEA EBX. Candidate then folds the entry base immediately.
a8b532583a40929ec6bbcd36487398c3a5f464e4c0fe1420d4f9d299343f6525	69.45	rejected	Three typed snapshots (X, source, entry) before publication. Peak lifetime pushes EBP at +0x0a and places data in EDI, losing the exact canonical prologue.
f819d9d0f98ee242faffe201da082a1fc4d3f34ed6eef5e900b460da33487370	69.47	rejected	Reduced typed lifetime: compute X, then source, then entry without a source snapshot. Field read order matches retail, but MSVC still forms entry in ECX immediately and pushes EBP before loading data.
c55959f765245dd6f1b296da224b8566af06a7ee55717474a7dc5f536bdd20a3	70.00	best-fresh-rejected	Mutate frame to the sizeof(IconEntry) byte offset, then form the typed entry. This newly recovers retail's EBX=13*frame lifetime, but allocates data=EDI and entry=ECX and pushes EBP early; it remains below the retained 72.479 maximum.
f435acabb5234b93b8cb4c1490046050587bacfa75535f40bb19d262b0ba8e78	66.09	rejected	Split raw entry.x, source, and delayed typed entry snapshots. It gets data=ESI and offset=EBX, but assigns entry.x=EDI and entry=ECX, removes the four-byte temp, and shifts every stack argument.
94602a545ceb6ea8c3279d263db50208f5cec2ddeb802a88031e00fd8f6141dc	69.87	rejected	Use one SSA-like X variable: load raw entry.x, publish entry/source, then add the x argument. The four-byte temp returns, but MSVC hoists the add and chooses data=EDI, X=ESI, entry=ECX instead of retail's data/X reuse in ESI and entry=EDI.
02d5d770e6fedba86b93035f1f57b3df89c6ec336ec650b2029f2092109f3d9e	67.93	rejected	Declare/initialize the typed entry before the source snapshot within the byte-offset model. Prologue and data/offset lifetimes align through +0x13, but entry.x remains EDI and entry remains ECX; the subsequent register chain diverges.
a807e036ac190f8562441c8e550204849e27a670773c6a26f3f69a31a490c52a	69.87	rejected	Eliminate the long-lived entry local and use the published gCTEntry view for later fields. MSVC forwards the same entry=ECX value and does not produce retail's EDI lifetime.
944666e66f58791ae4d2f1bb2d2dbf1143ab176c42210c0b7bdfcdcb6d4c2494	69.95	canonical-restored	Canonical typed-index source restored with the durable match note; emitted .text is unchanged from the a0b17fb checkpoint.
# register on entry.x, an IconEntry reference view, and chained gCTEntry/local assignment were byte-identical to their corresponding rows; they are spellings of the same models, not additional search families.
# Final audit: candidate .text 0x57e SHA-256 54b5211334240ba1749c8c53f253abd40b8fd28039b7b55fb15985bf99ffb157; retail function 0x5af within .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c. The relocation-union masked audit is unchanged from a0b17fb: 756 differing common bytes, first +0x12, last +0x57d, plus the 0x31-byte retail tail.
# Final relocation audit: base=91, target=91, only-base=0. This is a broad structural/register-allocation residual, not a relocation or permitted artifact wall.
# Revisit trigger: a real header/declaration-surface change, or a new source model that keeps raw entry.x in ECX while delaying entry=EDI until after the srcOffset load. This sole-function TU has no source predecessor to steer.
