# BASE/icon2bc shared-decoder-template and declaration-surface pass, checkpoint c4c0562
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target object SHA-256 a37407754627bc06241364dbb769148a02223a8e05bee63d57bebfa3b43d4f82, target .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c, target relocations 91.
# New axis: differential alignment against retail IconToBitmap, FlipIconToBitmapColorTable, and the mapped/flip decoder family identified a real declaration-surface mismatch and retail newline publication order. No regex/AST permuter was used.
# Final declaration hashes: dimPalette.h cf3d92124cbb77c3e18b26afc12932d01a6b86087d7209af987ea8907ac625ee; X_GLOBAL.h 88afe50feb130f798a0f13f97eb26cabb62980989c2ce7df19301ccc3c4a7ccc.
source_sha256_or_state	match_percent	base_size	base_target_relocs	result	new_template_state_and_byte_evidence
c982e5903bc99f884622f4c0f50887d916b3fb81251b98f8810adda747a8dd0c	69.95	0x57e	91/91	input	Full X_GLOBAL surface and old row/X/Y newline order; exact through +0x11, first difference +0x12.
3edd7c25f4447c1ea3bfb14a999f68edbb30c7e9e806e2b7b490d7e9bc3348d1	72.48	0x566	88/91	superseded	Use only the real KB-owned uDimPal declaration while keeping the old newline order. This reproduces the retained high-water compiler state without false compatibility declarations.
not-captured-narrow-preloop-cursor	71.17	not-captured	87/91	rejected	Under the narrow palette surface, carry gCTDst from before the loop. This recovers the retail lifetime but still allocates cursor=EDX/count=EBX rather than EBX/EDX.
not-captured-narrow-field-snapshots	71.00	not-captured	88/91	rejected	Typed entry.x/sourceOffset/entry snapshots before publication under the narrow surface. The setup still fails to produce data=ESI, offset=EBX, entry=EDI.
not-captured-narrow-combined-template	70.88	not-captured	87/91	rejected	Combine typed field snapshots and the loop-carried destination cursor. The whole-template combination regressed and did not restore the missing occurrences.
not-captured-minimal-iconentry-surface	65.39	not-captured	87/91	rejected	Replace Misc's historical record surface with direct IconEntry plus the narrow palette header. This is semantically valid but broadly worsens the TU state.
not-captured-inline-iconentry-narrow	72.54	not-captured	88/91	rejected	Use HOMM2_MISC_INLINE_ICONENTRY with the narrow palette surface and retail newline order. It remains below the no-macro state.
not-captured-inline-iconentry-full	72.76	not-captured	88/91	rejected	Use the historical inline IconEntry surface with full X_GLOBAL and retail newline order. Its score ordering is historical; the narrow-palette result had the stronger recorded structure.
not-captured-full-header-newline	69.77	not-captured	91/91	rejected	Retail newline order alone under full X_GLOBAL preserves all relocation occurrences but does not recover the TU allocation state.
e6afb8acfa36eeac2046a70fc90d14a71f37f2df99d82727395a01c8bdf82f45	73.17	0x566	88/91	retained-best	Canonical KB-owned dim-palette surface plus retail X/Y/row newline order. Candidate .text SHA-256 6e7102ac86ce318118835de5be00b34e5cd1d008c8da3040e47464c998381e2e; relocation-union audit has 788 common unmasked bytes, 745 different, first +0x12, last +0x565, plus 0x49 retail tail.
# Relocation delta in the retained state: ClipR 9/10, Cnt 5/6, Dst 5/6, X0 2/3, and Y 9/8; every other scratch count agrees, uDimPal is 1/1, and homm2 relocs reports no base-only target. Four missing and one excess occurrence produce the 88/91 total.
# Unresolved, not a wall: the source still lacks retail's simultaneous setup roles (ESI data, EBX offset, EDI entry, ECX entry.x, EAX srcOffset) and its loop-carried EBX destination cursor with EDX count. The next pass must change the shared template model, not replay local setup/include/predicate/count/byte-offset/pointer/cursor/newline families.
