state	base_checkpoint	source_file_sha256	header_sha256	focus	focus_score	focus_text_sha256	outcome
regular_destructor	fe8cfa9	af8c0d194c637864a95bf3dda5d4c381e7f5ef8bd5866d6a588c7949aa120ba6	1e39e620f3ae4bb33098129b32a30616de1c1e9ab4a20a156f527fbac87f05fc	deleting alias	unscored	c7b5a188125617c7c244e85cbba5947c471af03270a798acdbe9bfffc8048e5b	REJECT false early-stop: 0x1f and 2 relocs versus each retail 0x36 and 5; masked common+size delta 46
inline_dllexport_semantic_field	fe8cfa9	c932cde4a1bd770a61068836d3dc9c94ced2a263bb7ae08be09c669171da733a	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	deleting alias	raw exact	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	RETAIN: inline+dllexport emits exact 0x36 5/5 body against both retail copies while standalone destructor remains exact; m_selectMode rename is byte neutral
attribute_order_reversed	fe8cfa9	1b62b5ab9bdd0e73dc4e1546a174b0371f12679587e6ebc88faa4c757bf11a50	6728dde4e06f67ba1d3a4f092c7ba8a2b47ea66db7d90d510eb3a7b4f8bd138f	whole TU	emitted-code identical	545c98e5be15cd23b6ae3b50aa39f9f33e7aad00e31f88b28ce075b4590ae959	NO-OP: virtual inline __declspec(dllexport) order preserves every section hash and does not restore Main live maximum
direct_deselect	fe8cfa9	3336e44e5b6747b607f34f3a8d6e8d1f8f1b61f5bf1266dcbec49df2ba2800bb	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Deselect	99.77778	ad7d30d94ec5ef14277dc8b6ddc9775b530809804fd8a87fc811de2d85e9c559	NO-OP: direct m_flags &= 0xfffe emits byte-identical code to explicit short temporary
combined_x_old_message	fe8cfa9	71b6a23bec1c8086e35e084d842981af61c14fd50342afaac7de736b5051d2fa	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	85.04348	4f3166166dbb02ced0f7e9c71a46f680183cffc21979aa11e4223d1fc3a389c1	NO-OP: combined X expression does not change the cached-owner/old-message candidate in exact-alias TU state
negative_select_arm	fe8cfa9	ea7319e281d5f1ecc2bbdc48d55616cbe051cfbcede30f60723dab3b5db166b3	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	89.34783	not-captured	REJECT: explicit !=1/else arms fix store placement but reverse retail branch polarity
positive_select_arm_cached_owner	fe8cfa9	816c6661768ac1c9a33c17eafe07472fbfe895ad10a33d2e986abe136365943a	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	90.69565	not-captured	KEEP FOR STRUCTURE: ==1 positive arm makes message-store tail exact; cached-owner coordinates still allocate wrong registers
cached_owner_xy_swap	fe8cfa9	5da9df1b6f82b1fdf1c9de29d7754e069ccfd75fb0e2dc656342d67cdba8cc1f	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	90.69565	not-captured	NO-OP: swapping cached-owner X/Y declarations leaves score and diff unchanged
direct_xy_y_first	fe8cfa9	093ff4e79fa0ddf81f37962ccfc40b27af7167f93c66d0d3ce4476a9bcc4a101	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	94.50000	not-captured	REJECT: direct sums improve coordinate structure but Y-first declaration is below X-first
direct_x_y_snapshot	fe8cfa9	305064b522228427cc81b83903ddbdd22e825d9290ab3555afdffb2a06f67ce3	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	94.71739	not-captured	SCORE-EQUIVALENT: separate Y snapshot plus direct X sum matches retained score but is not simpler
direct_xy_x_first_final	fe8cfa9	1b62b5ab9bdd0e73dc4e1546a174b0371f12679587e6ebc88faa4c757bf11a50	13c3e980b42375a57b5a30f6978dfbc507133d8bf19aaaac1d84fdd1ef13c322	Select	94.71739	25560c3e795bb78e0831a4290f64c60a48ed642f08252b856bf5d5943762ca0b	RETAIN: direct X then Y sums plus positive select-mode arm establish new max; only coordinate allocation/one-byte residual remains
semantic_open_select_mode_enum	fe8cfa9	504f820be4ca33b43f3ecf46a099be85ebb746ae88e9c9d4c04e55c2b51b7de9	3754eeda3e0b77e098f0f6e06cfecb6a6ae03545f89c56209de96cfab75a4396	whole TU	Main 94.37045; Select 86.82609; Deselect 99.77778	30ff5bc20445613d0bf0a6bd0fabaa491e0fc74c9df1a7634ec9e1b1219decf5	REJECT semantic overclaim: a one-value ButtonSelectMode enum preserves Main and makes Select 0x96/0x96, but retail proves only distinguished value 1 versus every other value, so the domain is open and must not be typed as a closed enum; exact authored pins and deleting alias survived
semantic_macro_only_select_mode	fe8cfa9	504f820be4ca33b43f3ecf46a099be85ebb746ae88e9c9d4c04e55c2b51b7de9	8724b48562279146325e25afb951c6361243874e84ca810c4666bf2cd4aa12da	whole TU	Main 93.29; Select 86.82609; Deselect 99.77778	not-captured	REJECT TU-state regression: correct open-domain macro without a replacement closed enum drops Main below its retained 94.37045 max while leaving Select unchanged; exact authored pins and deleting alias survived
semantic_closed_hotkey_enum_final	fe8cfa9	87499971af1aedcf33635a33a2baeecaa7954e05b9f59533bb535854f2ee0e93	0e4c1a88f83662199ff54fee771959d457e2bb5f52dcffc1fea020e90e9f8718	whole TU	Main 94.37045; Select 86.82609; Deselect 99.77778	30ff5bc20445613d0bf0a6bd0fabaa491e0fc74c9df1a7634ec9e1b1219decf5	RETAIN semantic/type recovery: the open select-mode value stays a named macro while the authoritative no-hotkey sentinel gets its own closed enum; widget.h=fef7bbcfbedd94b1e94e96b9fa0b121522a5a08c746c3e44015f375f370ff43c and _carcass_types.h=acff66f721cd45be0292ceeb1f06d9b05362419b96756692d50141b2009bb546; all six exact authored pins plus exact deleting alias survive, Main reproduces its prior emitted state, Select is 0x97/0x96 with message tail exact; do not replay prior local families without a changed evidence state
