# BASE/icon2bc independent decoder-lifetime reconstruction, checkpoint 9cdac5a
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target relocations 91.
# Scope: new whole-function command-loop ownership and branch-body order derived from retail before consulting the canonical body. No recorded setup/include/predicate/count/byte-offset/SSA/pointer-view family was replayed.
# Retail lifetime proof: gCTDst is loaded into EBX at +0xe5 before loop header +0xeb and is never reloaded on a backedge; EBX is published on skip, then becomes the dim/literal destination cursor. Newline publishes X0, increments Y, loads pitch, advances row, then stores Y at +0x587..+0x5a0.
# No regex/AST permutation tool was used. The retained threshold is the campaign maximum 72.479%, not the lower live canonical score.
# Restored canonical verification: normalized source hash d70464fd672d, .text SHA-256 54b5211334240ba1749c8c53f253abd40b8fd28039b7b55fb15985bf99ffb157, size 0x57e, 91/91 relocations.
source_sha256_or_state	match_percent	base_target_relocs	result	new_model_and_byte_evidence
c77ac4e79dcbb18022abdcce5b146f78562f4556a3ae531ce5691b1a3f6f3933	69.95	91/91	canonical-input	Checkpoint canonical: reloads gCTDst at the command-loop header; retained campaign maximum remains 72.479%.
not-captured-loop-carried-cursor	71.63	not-captured	rejected	Moved the gCTDst load before the loop so one cursor survives every backedge. This newly recovers the retail publication lifetime and self-store on the skip edge, but colors cursor=EDX and count=EBX instead of retail cursor=EBX/count=EDX.
not-captured-direct-postincrement-fetch	71.19	not-captured	rejected	Used cmd=*gCTSrc++ for the main command fetch. It did not recover retail's source=ECX/cmd=EAX allocation and reduced the score.
not-captured-cursor-before-row	70.08	not-captured	rejected	Initialized the loop-carried cursor while dest was still live, before row formation. This blocked EDX but made cursor=ESI and X=EBX, the reverse of retail's X=ESI/cursor=EBX.
not-captured-loop-wide-command-state	70.71	not-captured	rejected	Extended cmd/count/flags declaration scopes across the loop. MSVC retained cursor=EDX and count=EBX; the wider state did not recover the retail coloring.
not-captured-narrow-cursor	71.78	88/91	superseded	Declared the cursor at its initialization immediately before the loop. The narrower source scope improved the whole decoder, but lost one ClipR, one Cnt, and one X0 relocation versus retail.
6e0e5c76f497ea739f8c732a6fa955aa69508187b9ade24436d70addec82b412	71.88	88/91	best-new-rejected	Combined the loop-carried cursor with retail's X/Y/row newline order; object SHA-256 3292148079c0ae9040468e5ee673eb40193712ecaa2bc58b7737275c18676262, .text size 0x58b. Literal publication order and cmd unsignedness/name changes were byte-neutral. Still 0.599 points below the retained threshold.
not-captured-compact-literal-copy	70.83	not-captured	rejected	Used paired source/destination post-increments for the mapped literal loop. It moved side effects toward retail and lengthened the function, but globally worsened allocation and score.
not-captured-command-source-snapshot	71.67	not-captured	rejected	Materialized a per-command source cursor before publishing gCTSrc. MSVC emitted LEA old+1 and kept pointer=EAX/cmd=ECX rather than retail pointer=ECX/cmd=EAX.
not-captured-unified-negative-count	69.86	not-captured	rejected	Decoded count once for both skip and shadow command classes. Retail computes it only after the bit-0x40 split; the unified lifetime introduced an early AND and regressed.
not-captured-signed-count	66.79	not-captured	rejected	Made count signed to reflect the later >0 tests. It recovered count=EDX but swapped X=EBX/cursor=ESI and broadly changed shadow/fill lowering.
not-captured-owner-header-removal	69.69	not-captured	rejected	Removed the redundant owner-header parse as a new TU-state probe. Private suffixes moved only S1669..S1685 to S1654..S1670 (15, not the required state), changed compare polarity, and regressed.
c77ac4e79dcbb18022abdcce5b146f78562f4556a3ae531ce5691b1a3f6f3933	69.95	91/91	canonical-restored	Canonical body restored because no genuinely new whole-function state exceeded 72.479%. The durable source note now records the proven pre-loop cursor/newline evidence for a future combined setup+decoder model.
