# BASE/icon2bc typed command and loop-state abstraction pass, checkpoint 08966f9
# Target: IconToBitmapColorTable, RVA 0xd32a0, retail size 0x5af, target object SHA-256 a37407754627bc06241364dbb769148a02223a8e05bee63d57bebfa3b43d4f82, target .text SHA-256 15096a6b70e855d536084307e3f0f9caff5f35f7da2c157ef2fe1a80feeb647c, target relocations 91.
# New evidence: retail Icon2b and icon2bc share the same setup register sequence (data=ESI, 13*frame=EBX, entry.x=ECX, srcOffset=EAX, entry=EDI), and icon2bc carries destination=EBX across every command backedge. This pass tested typed abstractions for those shared roles, not another file-static scratch-record boundary or a local fetch spelling.
# No regex or AST permutation tool was used. All rejected types/headers were removed; canonical 73.1690/0x566/88:91 is restored.
state	match_percent	base_target_relocs	result	new_abstraction_and_byte_evidence
canonical-input	73.1690	88/91	retained	Separate typed table plus scalar command and loop-header destination reload; first divergence +0x12. Missing ClipR/Cnt/Dst/X0 once each and excess Y once.
inline_frame_view	68.50	91/91	rejected	Inline frame-byte-offset, frame-X, source-offset, and entry accessors recover retail EBX=13*frame at +0x11, but allocate frame-X=EDI and entry=ECX instead of retail ECX/EDI. Predeclaring entry is byte-identical; a short frame-X is 67.38 and extending X ownership is 67.41.
source_reference_preloop_cursor	71.58	86/91	rejected	A typed reference alias for the global source plus the retail pre-loop destination lifetime still emits source=EAX, command=ECX, destination=EDX, count=EBX and loses five occurrences.
command_value_wrapper	0.46	86/91	rejected	A scalar class with inline command classification/run-length methods makes MSVC lay out the positive body before the negative body (JL at the command split), unlike retail's JGE-to-positive shape. Returning raw signed/bits values does not restore the CFG.
cursor_backed_run_decoder_reload	67.43	87/91	rejected	One inline decoder object owns every command/payload read and the extended-solid/dim length decodes. The source remains EAX and command ECX; the abstraction shortens and reorders branch bodies.
cursor_backed_run_decoder_preloop	71.71	86/91	rejected	Combining the same full run decoder with the retail destination lifetime retains destination=EDX/count=EBX and does not recover the five occurrence signature.
typed_command_enum_reload	69.75	91/91	rejected	A header-level command enum restores every relocation occurrence but retains source=EAX/command=ECX and broadly regresses instruction selection.
typed_command_enum_preloop	71.72	87/91	rejected	The enum plus loop-carried destination remains destination=EDX/count=EBX and loses four occurrences.
typed_flags_enum	68.00	91/91	rejected	A header-level dim/override flag domain restores all occurrences but changes comparison polarity and addressing throughout fill/dim.
named_enum_constants_int_storage	67.94	88/91	rejected	Keeping int storage while using a header-level typedef-enum constant domain preserves the canonical occurrence delta but perturbs row formation and later allocation.
typed_destination_state_after_icon	69.11	87/91	rejected	A one-field local destination-cursor record declared after icon.h remains destination=EDX and changes setup/row allocation.
typed_destination_state_owner_header	68.42	87/91	rejected	Moving the same real loop-state type to icon2bc.h changes initial clip CSE but still emits source=EAX, command=ECX, destination=EDX, count=EBX.
# Result: neither an inline frame view, a command value object, a cursor-backed full run decoder, semantic command/flags enum types, nor a one-word typed destination state explains the retail allocation. The full-decoder abstraction is observably worse than the already-recorded scalar source, and the typed enum surfaces prove that matching all 91 occurrences alone is insufficient.
# Revisit trigger: a new retail-backed abstraction must account for the simultaneous ECX-source/EAX-command/EDX-count/EBX-destination allocation without changing the JGE negative/positive split, or a real shared header/compiler-state change. Do not retry these type placements or wrap only the command/payload reader again.
